Scientificname,Commonname,species,total_count,n_observations
Lobotes surinamensis,Atlantic Tripletail,8835380101,4,3
Lophogobius cyprinoides,Crested Goby,8847012501,2610,435
Loricariidae spp.,suckermouth armored catfishes,8777300000,60,46
Lucania goodei,Bluefin Killifish,8804040302,579,163
Lucania parva,Rainwater Killifish,8804040301,472100,8448
Lucania spp.,topminnows,8804040300,1,1
Lupinoblennius nicholsi,Highfin Blenny,8842011402,72,24
Lutjanus analis,Mutton Snapper,8835360103,9,9
Lutjanus apodus,Schoolmaster,8835360104,1,1
Lutjanus griseus,Gray Snapper,8835360102,11499,3499
Lutjanus spp.,snappers,8835360100,5,4
Lutjanus synagris,Lane Snapper,8835360112,6190,1505
Lysmata amboinensis,Scarlet Cleaner Shrimp,6179161109,15,3
Lysmata wurdemanni,Peppermint Shrimp,6179161101,14,2
Malaclemys spp.,Terrapin,9002030300,1,1
Malaclemys terrapin,Diamondback Terrapin,9002030301,115,76
Mayaheros urophthalmus,Mayan Cichlid,8835614901,829,138
Megalops atlanticus,Tarpon,8738020201,38,27
Membras martinica,Rough Silverside,8805030201,18079,549
Menidia spp.,New World silversides,8805030300,1592195,15463
Menippe mercenaria,Florida Stone Crab,6189021300,12,9
Menippe spp.,Stone Crab,6189021300,3960,1136
Menticirrhus americanus,Southern Kingfish,8835440601,28981,3631
Menticirrhus littoralis,Gulf Kingfish,8835440602,402,72
Menticirrhus saxatilis,Northern Kingfish,8835440603,733,365
Menticirrhus spp.,drums and croakers,8835440600,68,31
Microgobius gulosus,Clown Goby,8847010701,184398,13750
Microgobius spp.,gobies,8847010700,4,4
Microgobius thalassinus,Green Goby,8847010702,1966,633
Micropogonias undulatus,Atlantic Croaker,8835440701,1195,210
Micropterus salmoides,Florida Bass,8835160602,1499,549
Misgurnus anguillicaudatus,Pond Loach,8776060101,2,2
Monacanthidae spp.,Filefishes,8860040000,1,1
Monacanthus ciliatus,Fringed Filefish,8860020701,811,390
Monopterus albus,Asian Swamp Eel,8824010201,4,4
Morone saxatilis,Striped Bass,8835750202,1,1
Mugil cephalus,Striped Mullet,8836010101,238075,7043
Mugil curema,White Mullet,8836010102,13754,1829
Mugil spp.,Mullets,8836010100,1531,90
Mugil trichodon,Fantail Mullet,8836010105,24868,2361
Mullus auratus,Red Goatfish,8835450201,6,4
Mycteroperca bonaci,Black Grouper,8835031602,5,4
Mycteroperca microlepis,Gag,8835031601,2298,802
Myrophis punctatus,Speckled Worm Eel,8741130802,18,18
Negaprion brevirostris,Lemon Shark,8708020801,14,11
Nicholsina usta,Emerald Parrotfish,8839030301,4810,889
No fish,No fish,9998000000,0,3131
No gear set,No gear set,0000000000,0,105
Non-standard work up,Non-standard work up,1111000000,0,1458
Notemigonus crysoleucas,Golden Shiner,8776081201,280,55
Notropis maculatus,Taillight Shiner,8776081301,225,28
Notropis spp.,minnows,8776081300,8,3
Noturus gyrinus,Tadpole Madtom,8777020201,4,3
Ocyurus chrysurus,Yellowtail Snapper,8835360401,75,27
Odontoscion dentex,Reef Croaker,8835441301,1,1
Ogcocephalus cubifrons,Polka-dot Batfish,8787040113,260,191
Ogcocephalus spp.,Batfishes,8787040100,1,1
Ogyrides alphaerostris,Estuarine Longeye Shrimp,6179150101,1,1
Oligoplites saurus,Leatherjacket,8835280501,16621,4958
Ophichthidae spp.,snake eels,8741130000,1,1
Ophichthus gomesii,Shrimp Eel,8741131001,1,1
Ophidion holbrookii,Bank Cusk-eel,8792010603,7,7
Opisthonema oglinum,Atlantic Thread Herring,8747060201,92447,1701
Opistognathus robinsi,Spotfin Jawfish,8840020299,5,5
Opsanus beta,Gulf Toadfish,8783010202,7514,3322
Opsanus beta (red morph),Gulf Toadfish (red morph),8783010202,2,2
Oreochromis aureus,Blue Tilapia,8835610401,664,88
Oreochromis niloticus,Nile Tilapia,8835614003,67,13
Oreochromis spp.,tilapias,8835614000,24,2
Oreochromis/Sarotherodon spp.,Tilapias,8835615000,3783,623
Orthopristis chrysoptera,Pigfish,8835400201,159296,6452
Ostraciidae spp.,Boxfishes,8860030000,20,15
